Rank;Player Tag;Player Name;Total Earnings;Country;Primary Game;Game Earnings;Earnings Percentage;Player Profile Link;Title;Name;Date of Birth;Age;Country Ranking;Total Prize Money Earned;Alternate IDs;Player;Total_2023;Total_2022;Total_2021;Total_2020;Total_2019;Total_2018;Total_2017;Total_2016;Total_2015;Total_2014;Total_2013;Total_2012;Total_2011;Total_2010;Total_2009;Total_2008;Total_2007;Total_2006;Total_2005;Total_2004;Total_2003;Total_2002;Total_2001
107;Cat;Chen, Zhengzheng;$1,336,719.65;China;Arena of Valor;$1,336,719.65;100.00%;https://www.esportsearnings.com/players/60467-cat-chen-zhengzheng;"McArthur ""Cellium"" Jovel - Call of Duty Player";McArthur Jovel;December 24, 2000;22;#13;$1,329,548.93From 59 Tournaments;Cellium;Cat Chen, Zhengzheng;0;0;0;$59,648.48;$475,717.32;$77,115.22;$71,885.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;Quinn;Quinn Callahan;$1,335,670.47;United States;Dota 2;$1,334,370.47;99.90%;https://www.esportsearnings.com/players/30573-quinn-callahan;"Zeng ""Order"" Zehai - PLAYERUNKNOWN'S BATTLEGROUNDS Mobile Player";Zeng, Zehai 令(曾澤海);February 22, 2002;21;#26;$1,315,270.42From 30 Tournaments;Order;Quinn Quinn Callahan;$655,527.40;0;$179,680.00;0;$169,320.40;$234,880.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;Zayt;Williams Aubin;$1,331,181.42;Canada;Fortnite;$1,204,256.42;90.47%;https://www.esportsearnings.com/players/51578-zayt-williams-aubin;"Nikola ""NiKo"" Kovač - Counter-Strike 2 Player";Nikola Kovač(Никола Ковач);February 16, 1997;26;#1;$1,310,591.80From 166 Tournaments;NiKolinho;Zayt Williams Aubin;0;0;0;$198,164.76;$958,950.00;$161,600.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;Fanfan;Fan, Yang;$1,330,389.67;China;Arena of Valor;$1,330,389.67;100.00%;https://www.esportsearnings.com/players/97601-fanfan-fan-yang;"Joona ""Serral"" Sotala - StarCraft II Player";Joona Sotala;March 22, 1998;25;#4;$1,309,669.21From 171 Tournaments;eXelonSerral, Serral;Fanfan Fan, Yang;$217,418.27;$331,648.66;$693,005.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;Cellium;McArthur Jovel;$1,329,548.93;United States;Call of Duty: Black Ops Cold War;$488,750.00;36.76%;https://www.esportsearnings.com/players/36617-cellium-mcarthur-jovel;"Song ""Sccc"" Chun - Dota 2 Player";Song, Chun(宋淳);August 18, 1995;28;#27;$1,286,950.54From 75 Tournaments;Sccc;Cellium McArthur Jovel;$202,500.00;$298,125.00;$490,100.00;$256,550.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;Order;Zeng, Zehai;$1,315,270.42;China;PLAYERUNKNOWN'S BATTLEGROUNDS Mobile;$1,315,270.42;100.00%;https://www.esportsearnings.com/players/77958-order-zeng-zehai;"Liu ""YiZ"" Tianhao - Arena of Valor Player";Liu, Tianhao(刘天豪);October 26, 1999;24;#28;$1,284,055.86From 19 Tournaments;YiZ, YiZheng, YZ, 易峥;Order Zeng, Zehai;0;$559,115.40;$449,656.19;$214,013.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;NiKo;Nikola Kovač;$1,310,591.80;Bosnia and Herzegovina;Counter-Strike: Global Offensive;$1,300,569.23;99.24%;https://www.esportsearnings.com/players/5783-niko-nikola-kovac;"Jiao ""Banana"" Wang - Dota 2 Player";Jiao, Wang(王蛟);July 5, 1987;36;#29;$1,283,122.83From 46 Tournaments;Banana, banana.hy, Biubiu, iG.banana.TongFu, Newbee.Banana, Nv.Cherry.Dgb, Nv.Cherry.Hy, Nv.msi.banana;NiKo Nikola Kovač;$220,700.00;$176,866.67;$150,600.00;$62,970.00;$118,500.00;$200,557.40;$301,857.14;$61,627.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;Serral;Joona Sotala;$1,309,669.21;Finland;StarCraft II;$1,309,669.21;100.00%;https://www.esportsearnings.com/players/5513-serral-joona-sotala;"Zhong ""1dao"" Letian - Arena of Valor Player";Zhong, Letian(钟乐天);December 16, 2001;22;#30;$1,246,754.87From 14 Tournaments;1dao, 妖刀;Serral Joona Sotala;$117,105.66;$223,175.00;0;$92,541.81;$215,540.83;$478,538.25;$79,301.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;Sccc;Song, Chun;$1,286,950.54;China;Dota 2;$1,286,950.54;100.00%;https://www.esportsearnings.com/players/19382-sccc-song-chun;"Xu ""Jimmy"" Yin-Jun - PLAYERUNKNOWN'S BATTLEGROUNDS Mobile Player";Xu, Yin-Jun(徐因俊);January 13, 1998;25;#1;$1,245,858.98From 27 Tournaments;Jimmy, 居米;Sccc Song, Chun;0;0;0;0;0;$132,161.76;$945,805.69;$104,938.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;YiZ;Liu, Tianhao;$1,285,374.50;China;Arena of Valor;$1,285,374.50;100.00%;https://www.esportsearnings.com/players/89896-yiz-liu-tianhao;"Huang ""QingRong"" Yaoqin - Arena of Valor Player";Huang, Yaoqin(黄垚钦);October 29, 2003;20;#31;$1,245,696.48From 14 Tournaments;QingRong, 清融;YiZ Liu, Tianhao;0;$757,777.03;$205,051.34;$266,949.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;Banana;Jiao, Wang;$1,283,122.84;China;Dota 2;$1,271,085.00;99.06%;https://www.esportsearnings.com/players/3813-banana-jiao-wang;"Nate ""Kreo"" Kou - Fortnite Player";Nate Kou;November 13, 2000;23;#1;$1,244,334.74From 60 Tournaments;Kreo;Banana Jiao, Wang;0;0;0;0;0;0;0;$62,311.40;$31,315.25;$1,112,281.00;$61,615.86;0;0;$7,912.52;$1,757.86;0;0;0;0;0;0;0;0
118;Pang;Li, Daheng;$1,275,476.01;China;Arena of Valor;$1,275,476.01;100.00%;https://www.esportsearnings.com/players/95069-pang-li-daheng;"Fan ""Fanfan"" Yang - Arena of Valor Player";Fan, Yang(杨帆);October 4, 2000;23;#32;$1,243,597.36From 13 Tournaments;Fan, fanfan, 帆帆, 迟;Pang Li, Daheng;$187,237.09;$272,176.00;$668,084.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;QingRong;Huang, Yaoqin;$1,246,992.29;China;Arena of Valor;$1,246,992.29;100.00%;https://www.esportsearnings.com/players/90008-qingrong-huang-yaoqin;"Zhang ""Paparazi"" Chengjun - Dota 2 Player";Zhang, Chengjun(张成俊);June 27, 1996;27;#33;$1,236,751.39From 77 Tournaments;Eurus, Paparazi, Sala, Yuno, 拒绝者;QingRong Huang, Yaoqin;0;$757,777.03;$431,278.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;Jimmy;Xu, Yin-Jun;$1,245,858.98;Taiwan, Republic of China;PLAYERUNKNOWN'S BATTLEGROUNDS Mobile;$1,245,858.98;100.00%;https://www.esportsearnings.com/players/69519-jimmy-xu-yin-jun;"Keith ""NAF"" Markovic - CS:GO Player";Keith Markovic;November 24, 1997;26;#5;$1,228,582.06From 154 Tournaments;NAF-FLY, nafox;Jimmy Xu, Yin-Jun;0;$518,305.90;$417,882.69;$212,942.26;$87,210.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;Kreo;Nate Kou;$1,244,334.74;Hong Kong;Fortnite;$1,244,334.74;100.00%;https://www.esportsearnings.com/players/51948-kreo-nate-kou;"Kakinuma ""kakip"" Hidema - Shadowverse Player";Kakinuma, Hidema(柿沼 秀真);January 7, 2002;21;#1;$1,228,551.54From 1 Tournament;kakip, かきP;Kreo Nate Kou;0;0;0;0;$1,090,075.00;$101,450.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;Paparazi;Zhang, Chengjun;$1,236,751.39;China;Dota 2;$1,236,751.39;100.00%;https://www.esportsearnings.com/players/30684-paparazi-zhang-chengjun;"Liu ""Sylar"" Jiajun - Dota 2 Player";Liu, Jiajun(刘嘉俊);December 20, 1993;30;#34;$1,226,897.63From 92 Tournaments;LGD.Taobao Sylar, Sylar, VG.Sylar.天喔;Paparazi Zhang, Chengjun;0;0;$146,029.39;$69,473.60;$506,933.50;$233,171.16;$80,849.28;$124,250.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;Loki;Park, Jung Young;$1,229,651.79;Korea, Republic of;PLAYERUNKNOWN’S BATTLEGROUNDS;$1,229,651.79;100.00%;https://www.esportsearnings.com/players/48322-loki-park-jung-young;"Xu ""Moogy"" Han - Dota 2 Player";Xu, Han(徐翰);April 19, 1994;29;#35;$1,221,917.10From 56 Tournaments;Moogy, uuu9;Loki Park, Jung Young;$266,585.88;0;$200,818.24;0;$575,353.31;$126,920.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;NAF;Keith Markovic;$1,228,582.06;Canada;Counter-Strike: Global Offensive;$1,228,382.06;99.98%;https://www.esportsearnings.com/players/10629-naf-keith-markovic;"James ""Clayster"" Eubanks - Call of Duty Player";James Clayton Eubanks;May 7, 1992;31;#14;$1,221,146.68From 139 Tournaments;Clay, Clayslays tK, Clayster, Clayster-, Claystxr nV, coL Clayster, OpTic Clayster, Tva Clayster, UNiTE Clayster;NAF Keith Markovic;0;$106,083.20;0;$78,200.00;$477,850.00;$201,750.00;$68,400.00;$160,483.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125;kakip;Kakinuma, Hidema;$1,228,551.54;Japan;Shadowverse;$1,228,551.54;100.00%;https://www.esportsearnings.com/players/103893-kakip-kakinuma-hidema;"Dave ""Rojo"" Jong - Fortnite Player";Dave Jong;<unknown>;0;#1;$1,215,593.33From 24 Tournaments;Rojo, Rojo11;kakip Kakinuma, Hidema;0;0;$1,228,551.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;Sylar;Liu, Jiajun;$1,226,897.63;China;Dota 2;$1,220,842.58;99.51%;https://www.esportsearnings.com/players/3163-sylar-liu-jiajun;"Cai ""Yu"" Youqi - Arena of Valor Player";Cai, Youqi(蔡佑其);July 23, 2002;21;#36;$1,213,416.17From 13 Tournaments;Cyq, XiangYu, Yu, 向鱼;Sylar Liu, Jiajun;0;0;0;0;0;$147,336.80;0;$46,905.85;$596,605.07;$314,277.65;$16,543.97;$43,568.82;0;0;0;0;0;0;0;0;0;0;0
127;Moogy;Xu, Han;$1,221,917.10;China;Dota 2;$1,221,917.10;100.00%;https://www.esportsearnings.com/players/10722-moogy-xu-han;"Ilya ""Perfecto"" Zalutskiy - Counter-Strike 2 Player";Ilya Zalutskiy(Илья Залуцкий);November 24, 1999;24;#10;$1,213,304.11From 71 Tournaments;Perf, Perfecto;Moogy Xu, Han;0;0;0;0;0;$131,580.28;$945,805.69;$108,800.33;$22,281.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;Clayster;James Eubanks;$1,221,146.68;United States;Call of Duty: Modern Warfare;$365,500.00;29.93%;https://www.esportsearnings.com/players/3801-clayster-james-eubanks;"Cho ""Maru"" Sung Choo - StarCraft II Player";Cho, Sung Choo(조성주);July 28, 1997;26;#2;$1,211,783.82From 186 Tournaments;Maru, MaruPrime;Clayster James Eubanks;0;0;0;$383,950.00;$311,375.00;$69,123.43;$83,125.00;$38,737.50;$144,619.50;$37,923.75;$36,042.50;0;$12,500.00;0;0;0;0;0;0;0;0;0;0
129;Rojo;Dave Jong;$1,215,593.33;Netherlands;Fortnite;$1,215,593.33;100.00%;https://www.esportsearnings.com/players/55139-rojo-dave-jong;"Wang ""SanSheng"" Zhaohui - Dota 2 Player";Wang, Zhaohui(王兆辉);June 13, 1989;34;#37;$1,211,061.37From 48 Tournaments;CCM.SanSheng.CN, cD.SanSheng, Deity.SanSheng, iG.SanSheng.Z, Newbee.Sansheng, SanSheng, TongFu.SanSheng;Rojo Dave Jong;0;0;0;0;$1,180,543.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;Perfecto;Ilya Zalutskiy;$1,213,304.11;Russian Federation;Counter-Strike: Global Offensive;$1,189,304.11;98.02%;https://www.esportsearnings.com/players/49589-perfecto-ilya-zalutskiy;"Rocco ""Saf"" Morales - Fortnite Player";Rocco Morales;<unknown>;0;#15;$1,209,607.02From 81 Tournaments;Safarooni;Perfecto Ilya Zalutskiy;0;$162,650.00;$832,100.00;$122,700.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;Maru;Cho, Sung Choo;$1,211,783.82;Korea, Republic of;StarCraft II;$1,211,783.82;100.00%;https://www.esportsearnings.com/players/1126-maru-cho-sung-choo;"Gabriel ""FalleN"" Toledo - Counter-Strike 2 Player";Gabriel Toledo;June 5, 1991;32;#1;$1,209,265.79From 179 Tournaments;FalleN, fg/FaLLeN fg-gaming.com.br, LG * FALLEN <EGB>, LUMINOSITy FALLEN;Maru Cho, Sung Choo;$128,976.20;$117,092.50;0;$80,544.33;$113,891.35;$370,117.05;$126,951.04;0;$63,802.91;$22,439.88;$68,957.71;$14,208.89;0;0;0;0;0;0;0;0;0;0;0
132;SanSheng;Wang, Zhaohui;$1,211,061.38;China;Dota 2;$1,202,225.88;99.27%;https://www.esportsearnings.com/players/2594-sansheng-wang-zhaohui;"Park ""Loki"" Jung Young - PUBG Player";Park, Jung Young(박정영);August 24, 1998;25;#3;$1,203,401.79From 45 Tournaments;Loki;SanSheng Wang, Zhaohui;0;0;0;0;0;0;0;0;$25,315.25;$1,098,069.22;$61,054.15;$8,267.43;$10,388.82;0;$1,979.25;0;0;0;0;0;0;0;0
133;Saf;Rocco Morales;$1,209,607.02;United States;Fortnite;$1,209,607.02;100.00%;https://www.esportsearnings.com/players/51883-saf-rocco-morales;"Davis ""Ceice"" McClellan - Fortnite Player";Davis McClellan;September 20, 2000;23;#16;$1,201,415.47From 77 Tournaments;Ceice;Saf Rocco Morales;0;0;0;$65,245.36;$954,625.00;$117,625.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134;FalleN;Gabriel Toledo;$1,209,265.79;Brazil;Counter-Strike: Global Offensive;$1,175,586.54;97.21%;https://www.esportsearnings.com/players/2455-fallen-gabriel-toledo;"Jonathan ""ELiGE"" Jablonowski - Counter-Strike 2 Player";Jonathan Jablonowski;July 16, 1997;26;#17;$1,199,696.02From 161 Tournaments;ELiGE, Liquid` ELiGEQ2 <HyperX>;FalleN Gabriel Toledo;0;0;0;$78,618.38;$91,858.04;$174,000.00;$311,554.88;$368,494.79;$34,567.88;0;0;0;0;$3,088.40;0;0;0;0;0;0;0;0;0
135;Ceice;Davis McClellan;$1,201,415.47;United States;Fortnite;$1,201,415.47;100.00%;https://www.esportsearnings.com/players/51940-ceice-davis-mcclellan;"Anucha ""Jabz"" Jirawong - Dota 2 Player";Anucha Jirawong(อนุชา จิระวงศ์);September 22, 1998;25;#1;$1,198,676.79From 86 Tournaments;J, Jabz, Kaneki;Ceice Davis McClellan;0;0;0;0;$1,012,225.00;$90,350.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;ELiGE;Jonathan Jablonowski;$1,199,696.02;United States;Counter-Strike: Global Offensive;$1,179,846.02;98.35%;https://www.esportsearnings.com/players/11788-elige-jonathan-jablonowski;"Seth ""Scump"" Abner - Call of Duty Player";Seth Abner;June 30, 1995;28;#18;$1,193,755.35From 172 Tournaments;nV Scumpii, OpTic Scumpii, OpTicScumpah, Scump, ScumperJumper, [Seth]OpTic Scrumper;ELiGE Jonathan Jablonowski;0;$106,083.20;0;$79,450.00;$477,850.00;$203,500.00;$72,179.76;$89,150.00;$29,156.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;Jabz;Anucha Jirawong;$1,198,676.79;Thailand;Dota 2;$1,198,676.79;100.00%;https://www.esportsearnings.com/players/15511-jabz-anucha-jirawong;"Yao ""Yao"" Zhengzheng - Dota 2 Player";Yao, Zhengzheng(姚铮铮);December 23, 1990;32;#38;$1,192,081.08From 65 Tournaments;Dream.xiaoD, LGD.Taobao.Yao, ToTeam^Ksssssss, Yao;Jabz Anucha Jirawong;$417,813.80;0;$176,240.00;0;$151,090.20;$208,196.60;$87,614.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;Scump;Seth Abner;$1,193,755.35;United States;Call of Duty: Infinite Warfare;$261,250.00;21.88%;https://www.esportsearnings.com/players/3696-scump-seth-abner;"Jakey ""Stewie2k"" Yip - Counter-Strike 2 Player";Jakey Yip;January 7, 1998;25;#19;$1,188,508.91From 189 Tournaments;Cloud9 stew-iwnl-, Stewie2k;Scump Seth Abner;0;$117,500.00;$209,250.00;$174,125.00;$77,025.00;$72,416.67;$269,500.00;$73,089.38;$98,531.25;$41,358.75;$34,825.00;$8,084.29;$10,800.00;0;0;0;0;0;0;0;0;0;0
139;Yao;Yao, Zhengzheng;$1,192,081.08;China;Dota 2;$1,186,002.61;99.49%;https://www.esportsearnings.com/players/3164-yao-zhengzheng;"Matthew ""FormaL"" Piper - Halo Player";Matthew Piper;December 19, 1994;29;#20;$1,183,932.18From 154 Tournaments;cR_FormaL, FaZe IFormaL, Formal, OpTic FormaL, OpTic FORRMAL, TheOpTicFormaL;Yao Yao, Zhengzheng;0;0;0;0;0;0;$392,314.75;$52,101.23;$532,526.43;$148,023.05;$16,213.61;$43,568.82;0;0;0;0;0;0;0;0;0;0;0
140;Stewie2k;Jakey Yip;$1,188,508.91;United States;Counter-Strike: Global Offensive;$1,186,573.20;99.84%;https://www.esportsearnings.com/players/16800-stewie2k-jakey-yip;"Xiang ""ZiYang"" Yang - Arena of Valor Player";Xiang, Yang(向阳);February 13, 2001;22;#39;$1,179,048.13From 12 Tournaments;ZiYang, 子阳;Stewie2k Jakey Yip;0;0;0;$80,700.00;$482,700.00;$272,550.00;$131,450.00;$136,550.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;FormaL;Matthew Piper;$1,183,932.18;United States;Halo Infinite;$289,400.00;24.44%;https://www.esportsearnings.com/players/1196-formal-matthew-piper;"Thiago ""k1nG"" Bautista Lapp - Fortnite Player";Thiago Bautista Lapp;April 22, 2006;17;#1;$1,174,500.00From 65 Tournaments;k1nG, k1nhG, kinG;FormaL Matthew Piper;$115,250.00;$169,250.00;0;$155,650.00;0;$68,000.00;$294,550.00;$73,039.38;$98,770.00;$29,760.30;$8,875.00;0;$14,700.00;0;0;0;0;0;0;0;0;0;0
142;ZiYang;Xiang, Yang;$1,180,343.94;China;Arena of Valor;$1,180,343.94;100.00%;https://www.esportsearnings.com/players/95063-ziyang-xiang-yang;"Lin ""Xxs"" Jing - Dota 2 Player";Lin Jing(林靖);August 21, 1999;24;#40;$1,166,766.42From 82 Tournaments;Xxs;ZiYang Xiang, Yang;0;$757,777.03;$381,456.10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143;k1nG;Thiago Bautista Lapp;$1,174,500.00;Argentina;Fortnite;$1,174,350.00;99.99%;https://www.esportsearnings.com/players/61896-k1ng-thiago-bautista-lapp;"Kirill Sergeyevich ""Boombl4"" Mikhailov - Counter-Strike 2 Player";Kirill Sergeyevich Mikhailov(Кирилл Сергеевич Михайлов);December 20, 1998;25;#11;$1,159,671.87From 84 Tournaments;Boombl4;k1nG Thiago Bautista Lapp;0;0;0;0;$1,010,550.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144;Xxs;Lin Jing;$1,166,766.42;China;Dota 2;$1,166,766.42;100.00%;https://www.esportsearnings.com/players/26666-xxs-lin-jing;"Tai ""TaySon"" Starčič - Fortnite Player";Tai Starčič;June 9, 2004;19;#1;$1,154,889.09From 158 Tournaments;TaySon;Xxs Lin Jing;$192,700.00;$314,267.00;$167,806.73;0;0;0;$344,141.33;$43,006.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;Boombl4;Kirill Sergeyevich Mikhailov;$1,159,671.87;Russian Federation;Counter-Strike: Global Offensive;$1,132,071.87;97.62%;https://www.esportsearnings.com/players/36982-boombl4-kirill-sergeyevich-mikhailov;"Li ""Pang"" Daheng - Arena of Valor Player";Li, Daheng(李达亨);July 12, 2004;19;#41;$1,127,497.98From 8 Tournaments;Pang, XiaoPang, 小胖;Boombl4 Kirill Sergeyevich Mikhailov;0;0;$832,100.00;$122,700.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;TaySon;Tai Starčič;$1,155,076.60;Slovenia;Fortnite;$1,155,076.60;100.00%;https://www.esportsearnings.com/players/80698-tayson-tai-starcic;"Lei ""MMY!"" Zengrong - Dota 2 Player";Lei, Zengrong(雷增荣);September 10, 1989;34;#42;$1,111,886.25From 68 Tournaments;Dai, DK.MMY!, DK.MMY!.DouYuTV, EH.DAI.GIGABYTE, EH.GIGABYTE.X!!, EHOME.MMY!, EHOME.X!!, Nv.msi.XwkKx, Xwkkx;TaySon Tai Starčič;$212,400.10;$225,575.00;$479,538.87;$226,045.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;NuanYang;Lin, Heng;$1,132,152.11;China;Arena of Valor;$1,132,152.11;100.00%;https://www.esportsearnings.com/players/89891-nuanyang-lin-heng;"Chan ""Oli"" Chon Kien - Dota 2 Player";Chan, Chon Kien(陈重建);January 9, 1996;27;#4;$1,108,199.50From 59 Tournaments;Oli, Oli~;NuanYang Lin, Heng;$100,880.66;$223,916.51;0;$491,368.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;MMY!;Lei, Zengrong;$1,111,886.25;China;Dota 2;$1,099,556.88;98.89%;https://www.esportsearnings.com/players/2581-mmy-lei-zengrong;"Valeriy ""B1t"" Vakhovskiy - Counter-Strike 2 Player";Valeriy Yevheniiovych Vakhovskiy(Валерій Євгенійович Ваховський);January 5, 2003;20;#6;$1,106,041.03From 53 Tournaments;B1t;MMY! Lei, Zengrong;0;0;0;0;0;0;0;$143,790.75;$596,605.07;$256,139.33;$40,770.84;$10,850.87;$53,904.79;$8,179.71;$1,644.86;0;0;0;0;0;0;0;0
149;Oli;Chan, Chon Kien;$1,108,199.50;Malaysia;Dota 2;$1,108,199.50;100.00%;https://www.esportsearnings.com/players/45192-oli-chan-chon-kien;"David ""MoonMeander"" Tan - Dota 2 Player";David Tan;January 28, 1992;31;#6;$1,103,701.61From 92 Tournaments;MoonMeander, [coL]MoonMeander, [D2P]PEACHZfag;Oli Chan, Chon Kien;$417,813.80;0;$544,722.11;$56,516.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;B1t;Valeriy Vakhovskiy;$1,106,041.03;Ukraine;Counter-Strike: Global Offensive;$1,084,041.03;98.01%;https://www.esportsearnings.com/players/73128-b1t-valeriy-vakhovskiy;"Nicholas ""nitr0"" Cannella - CS:GO Player";Nicholas Cannella;August 16, 1995;28;#21;$1,102,508.13From 151 Tournaments;Liquid nitr0JeNgA, Liquid` Nitro <HyperX>, nitr0;B1t Valeriy Vakhovskiy;$92,800.00;$162,650.00;$833,787.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;MoonMeander;David Tan;$1,103,701.61;Canada;Dota 2;$1,085,826.18;98.38%;https://www.esportsearnings.com/players/9839-moonmeander-david-tan;"Epitácio ""TACO"" de Melo - CS:GO Player";Epitácio de Melo;January 24, 1995;28;#2;$1,095,886.48From 129 Tournaments;LG * TACO <3poland <CyberPower>, TACO;MoonMeander David Tan;0;0;$142,550.00;0;0;0;$55,700.00;$427,126.60;$292,596.67;0;$8,208.76;$9,666.67;0;0;0;0;0;0;0;0;0;0;0
152;nitr0;Nicholas Cannella;$1,102,508.13;United States;Counter-Strike: Global Offensive;$1,058,468.13;96.01%;https://www.esportsearnings.com/players/8635-nitr0-nicholas-cannella;"Djardel Jicko ""DJ"" Mampusti - Dota 2 Player";Djardel Jicko Mampusti;November 6, 1994;29;#1;$1,089,125.12From 88 Tournaments;chrissy, DJ, Fnatic.DJ;nitr0 Nicholas Cannella;0;$106,083.20;0;0;$477,850.00;$204,200.00;$75,829.76;$90,150.00;$29,581.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153;TACO;Epitácio de Melo;$1,095,886.48;Brazil;Counter-Strike: Global Offensive;$1,095,886.48;100.00%;https://www.esportsearnings.com/players/12183-taco-epitacio-de-melo;"Fu ""Q"" Bin - Dota 2 Player";Fu, Bin(傅彬);June 24, 1996;27;#43;$1,081,544.74From 46 Tournaments;CDEC.Q.DouYaTV, Q;TACO Epitácio de Melo;0;0;0;$78,618.38;$91,858.04;$199,500.00;$311,554.88;$365,794.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;Yinuo;Xu, Bicheng;$1,095,693.69;China;Arena of Valor;$1,095,693.69;100.00%;https://www.esportsearnings.com/players/60433-yinuo-xu-bicheng;"Fernando ""fer"" Alvarenga - CS:GO Player";Fernando Alvarenga;October 30, 1991;32;#3;$1,078,891.52From 133 Tournaments;fer, ferGOD, LG * fer <HyperX>, LUMINOSITy fer;Yinuo Xu, Bicheng;0;$102,160.54;$127,766.68;$164,345.86;0;$59,243.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;DJ;Djardel Jicko Mampusti;$1,089,925.12;Philippines;Dota 2;$1,089,925.12;100.00%;https://www.esportsearnings.com/players/5221-dj-djardel-jicko-mampusti;"Lee ""Rogue"" Byung Ryul - StarCraft II Player";Lee, Byung Ryul(이병렬);January 13, 1994;29;#4;$1,074,715.88From 254 Tournaments;1z2z3z[KaL], NsP_Saber, Rogue, Ryul2, Ryul2[KaL], Saber[ArnC], Savage;DJ Djardel Jicko Mampusti;0;0;$176,240.00;0;$147,990.20;$104,932.20;0;$404,708.20;$46,183.25;$22,870.52;0;0;0;0;0;0;0;0;0;0;0;0;0
156;Q;Fu, Bin;$1,081,544.74;China;Dota 2;$1,081,544.74;100.00%;https://www.esportsearnings.com/players/12671-q-fu-bin;"Iwa ""Setty"" Zając - Fortnite Player";Iwa Zając;September 8, 2003;20;#3;$1,072,951.81From 110 Tournaments;Setty;Q Fu, Bin;0;0;0;0;0;0;$344,141.33;$44,664.10;$651,447.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;fer;Fernando Alvarenga;$1,078,891.52;Brazil;Counter-Strike: Global Offensive;$1,077,986.54;99.92%;https://www.esportsearnings.com/players/12169-fer-fernando-alvarenga;"Thomas Høxbro ""Th0masHD"" Davidsen - Fortnite Player";Thomas Høxbro Davidsen;May 30, 2002;21;#12;$1,058,826.84From 190 Tournaments;Th0mas, Th0masHD;fer Fernando Alvarenga;0;0;0;$87,618.38;$91,858.04;$170,800.00;$311,554.88;$365,794.79;$34,567.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;Rogue;Lee, Byung Ryul;$1,074,715.88;Korea, Republic of;StarCraft II;$1,074,715.88;100.00%;https://www.esportsearnings.com/players/4070-rogue-lee-byung-ryul;"Marcelo ""coldzera"" David - CS:GO Player";Marcelo David;October 31, 1994;29;#4;$1,048,601.46From 135 Tournaments;coldz, coldzera, LG * coldzera-' <HyperX>, LUMINOSITy coldz1n:v;Rogue Lee, Byung Ryul;0;0;0;$207,788.24;0;$230,785.36;$321,146.35;0;$33,106.12;$13,263.21;0;0;0;0;0;0;0;0;0;0;0;0;0
